utterances,serialized_schema,table_used
['What are the staff names with job title code Sales Person?'],"  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code  , date_assigned_to",staff
"['What are the staff names with job title code Sales Person?', 'What are their genders?', 'Would you like their names and their genders?', 'Yes.']","  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code  , date_assigned_to",staff
"['What are the staff names with job title code Sales Person?', 'What are their genders?', 'Would you like their names and their genders?', 'Yes.', 'What are the staff names and genders for people with job title code Sales Person?']","  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code  , date_assigned_to",staff
['Hello there!  Can you provide me with a list of all customer names and addresses?'],"  addresses : address_id , address_details | staff : staff_id , staff_gender , staff_name | suppliers : supplier_id , supplier_name , supplier_phone | department_store_chain : dept_store_chain_id , dept_store_chain_name | customers : customer_id , payment_method_code , customer_code , customer_name , customer_address , customer_phone , customer_email | products : product_id , product_type_code , product_name , product_price | supplier_addresses : supplier_id , address_id , date_from , date_to | customer_addresses : customer_id , address_id , date_from , date_to | customer_orders : order_id , customer_id , order_status_code , order_date | department_stores : dept_store_id , dept_store_chain_id , store_name , store_address , store_phone , store_email | departments : department_id , dept_store_id , department_name | order_items : order_item_id , order_id , product_id | product_suppliers : product_id , supplier_id , date_supplied_from , date_supplied_to , total_amount_purchased , total_value_purchased | staff_department_assignments : staff_id , department_id , date_assigned_from , job_title_code , date_assigned_to",Customers
"['What\'re the names of the enzymes in the medicine ""Amisulpride""?']","  medicine : id , name  , trade_name , fda_approved | enzyme : id , name , location , product , chromosome , omim , porphyria | medicine_enzyme_interaction : enzyme_id , medicine_id , interaction_type",enzyme
"['What\'re the names of the enzymes in the medicine ""Amisulpride""?', 'What\'re the names of the enzymes in the medicine ""Amisulpride"" that can serve as an inhibitor?']","  medicine : id , name  , trade_name , fda_approved | enzyme : id , name , location , product , chromosome , omim , porphyria | medicine_enzyme_interaction : enzyme_id , medicine_id , interaction_type ",enzyme
"['What\'re the names of the enzymes in the medicine ""Amisulpride""?', 'What\'re the names of the enzymes in the medicine ""Amisulpride"" that can serve as an inhibitor?', 'What are the names of all enzymes that can serve as inhibitors?']","  medicine : id , name  , trade_name , fda_approved | enzyme : id , name , location , product , chromosome , omim , porphyria | medicine_enzyme_interaction : enzyme_id , medicine_id , interaction_type ",enzyme
['What is the organisation ID of the organisation with grant amount of 4094.542??'],"  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",grants
"['What is the organisation ID of the organisation with grant amount of 4094.542??', 'What is its grant start date?']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",grants
"['What is the organisation ID of the organisation with grant amount of 4094.542??', 'What is its grant start date?', 'What about its end date?']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",grants
['Can you list the uids and names of all users?'],"  follows : f1 , f2 | tweets : id , uid , text , createdate | user_profiles : uid , name , email , partitionid , followers",user_profiles
"['Can you list the uids and names of all users?', 'Hmm, I want to know the number of followers of each user.']","  follows : f1 , f2 | tweets : id , uid , text , createdate | user_profiles : uid , name , email , partitionid , followers",user_profiles
"['Can you list the uids and names of all users?', 'Hmm, I want to know the number of followers of each user.', 'What is the maximum number of followers of all users?']","  follows : f1 , f2 | tweets : id , uid , text , createdate | user_profiles : uid , name , email , partitionid , followers",user_profiles
['hi. can you tell me how many wrestlers were eliminated?'],"  wrestler : wrestler_id , name , reign , days_held , location , event | elimination : elimination_id , wrestler_id , team , eliminated_by , elimination_move , time",Elimination
"['hi. can you tell me how many wrestlers were eliminated?', 'can you list the elimination times of those with the largest days held?', 'Again, there can only be one with the largest days held, would you like that one? There are  not multiple that can be ""largest""', 'yes, please']","  wrestler : wrestler_id , name , reign , days_held , location , event | elimination : elimination_id , wrestler_id , team , eliminated_by , elimination_move , time",elimination
['What is the Course Id for English'],"  addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name  , course_description  , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code",courses
"['What is the Course Id for English', 'how many different student ids are there?']","  addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name  , course_description  , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code",student_course_attendance
"['What is the Course Id for English', 'how many different student ids are there?', 'How many students enrolled in Course ID 302?']","  addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name  , course_description  , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code",courses
['which dno has no stuid associated with it?'],"  student : stuid , lname , fname , age , sex , major , advisor , city_code | faculty : facid , lname , fname , rank , sex , phone , room , building | department : dno , division , dname , room , building , dphone | member_of : facid , dno , appt_type | course : cid , cname , credits , instructor , days , hours , dno | minor_in : stuid , dno | enrolled_in : stuid , cid , grade | gradeconversion : lettergrade , gradepoint",Department
"['which dno has no stuid associated with it?', ""what are the dname's of those DNO's?""]","  student : stuid , lname , fname , age , sex , major , advisor , city_code | faculty : facid , lname , fname , rank , sex , phone , room , building | department : dno , division , dname , room , building , dphone | member_of : facid , dno , appt_type | course : cid , cname , credits , instructor , days , hours , dno | minor_in : stuid , dno | enrolled_in : stuid , cid , grade | gradeconversion : lettergrade , gradepoint",Department
"['which dno has no stuid associated with it?', ""what are the dname's of those DNO's?"", 'sort the department names alphabetically']","  student : stuid , lname , fname , age , sex , major , advisor , city_code | faculty : facid , lname , fname , rank , sex , phone , room , building | department : dno , division , dname , room , building , dphone | member_of : facid , dno , appt_type | course : cid , cname , credits , instructor , days , hours , dno | minor_in : stuid , dno | enrolled_in : stuid , cid , grade | gradeconversion : lettergrade , gradepoint",Department
['list the names of all movies'],"  movie : mid , title , year , director | reviewer : rid , name | rating : rid , mid , stars , ratingdate",Movie
"['list the names of all movies', 'list the year each movie was released']","  movie : mid , title , year , director | reviewer : rid , name | rating : rid , mid , stars , ratingdate",Movie
"['list the names of all movies', 'list the year each movie was released', 'list the titles of all movies']","  movie : mid , title , year , director | reviewer : rid , name | rating : rid , mid , stars , ratingdate",Movie
['Hello! How many documents are there total?'],"  roles : role_code , role_description | users : user_id , role_code , user_name , user_login , password | document_structures : document_structure_code , parent_document_structure_code , document_structure_description | functional_areas : functional_area_code , parent_functional_area_code , functional_area_description | images : image_id , image_alt_text , image_name , image_url | documents : document_code , document_structure_code , document_type_code , access_count , document_name | document_functional_areas : document_code , functional_area_code | document_sections : section_id , document_code , section_sequence , section_code , section_title | document_sections_images : section_id , image_id",documents
"['Hello! How many documents are there total?', ""Perfect, thanks for that. Now, how many documents don't have images?""]","  roles : role_code , role_description | users : user_id , role_code , user_name , user_login , password | document_structures : document_structure_code , parent_document_structure_code , document_structure_description | functional_areas : functional_area_code , parent_functional_area_code , functional_area_description | images : image_id , image_alt_text , image_name , image_url | documents : document_code , document_structure_code , document_type_code , access_count , document_name | document_functional_areas : document_code , functional_area_code | document_sections : section_id , document_code , section_sequence , section_code , section_title | document_sections_images : section_id , image_id",documents
"['Hello! How many documents are there total?', ""Perfect, thanks for that. Now, how many documents don't have images?"", 'Can you give me the names of those documents?']","  roles : role_code , role_description | users : user_id , role_code , user_name , user_login , password | document_structures : document_structure_code , parent_document_structure_code , document_structure_description | functional_areas : functional_area_code , parent_functional_area_code , functional_area_description | images : image_id , image_alt_text  , image_name , image_url | documents : document_code , document_structure_code , document_type_code , access_count , document_name | document_functional_areas : document_code , functional_area_code | document_sections : section_id , document_code , section_sequence , section_code , section_title | document_sections_images : section_id , image_id",documents
['What is the market share of Chabudai?'],"  manufacturer : manufacturer_id , open_year , name , num_of_factories , num_of_shops | furniture : furniture_id , name  , num_of_component , market_rate | furniture_manufacte : manufacturer_id , furniture_id , price_in_dollar",furniture
"['What is the market share of Chabudai?', 'What is its price?']","  manufacturer : manufacturer_id , open_year , name , num_of_factories , num_of_shops | furniture : furniture_id , name  , num_of_component , market_rate | furniture_manufacte : manufacturer_id , furniture_id , price_in_dollar",furniture
"['What is the market share of Chabudai?', 'What is its price?', 'What is its ID?']","  manufacturer : manufacturer_id , open_year , name , num_of_factories , num_of_shops | furniture : furniture_id , name  , num_of_component , market_rate | furniture_manufacte : manufacturer_id , furniture_id , price_in_dollar",furniture
['Show me the details of all participants.'],"  services : service_id , service_type_code | participants : participant_id , participant_type_code  , participant_details | events : event_id , service_id , event_details | participants_in_events : event_id , participant_id",Participants_in_Events
"['Show me the details of all participants.', 'show me the details of the events.', 'here are the details of all events', 'How many events did not have any participants?']","  services : service_id , service_type_code | participants : participant_id , participant_type_code  , participant_details | events : event_id , service_id , event_details | participants_in_events : event_id , participant_id",EVENTS
"[""Which grants are described as 'regular'?""]","  document_types : document_type_code , document_description  | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Grants
"[""Which grants are described as 'regular'?"", ""Which grants are described both 'regular' and 'initial application'?""]","  document_types : document_type_code , document_description  | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Grants
"[""Which grants are described as 'regular'?"", ""Which grants are described both 'regular' and 'initial application'?"", 'Can you show me the start date for all these grants?']","  document_types : document_type_code , document_description  | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Grants
"['Hello!  How are you?  Can you please provide me with a list of all department IDs, department names, and their respective years of creation?']","  department : department_id , name , creation , ranking , budget_in_billions , num_employees | head : head_id , name , born_state , age | management : department_id , head_id , temporary_acting",department
"['Hello!  How are you?  Can you please provide me with a list of all department IDs, department names, and their respective years of creation?', 'Excellent!  Can you filter this list to include only the rows that contain the most common (most frequently occurring) year of creation?']","  department : department_id , name , creation , ranking , budget_in_billions , num_employees | head : head_id , name , born_state , age | management : department_id , head_id , temporary_acting",department
"['Hello!  How are you?  Can you please provide me with a list of all department IDs, department names, and their respective years of creation?', 'Excellent!  Can you filter this list to include only the rows that contain the most common (most frequently occurring) year of creation?', 'Perfect! Can you tell me what is the total combined budget of these two departments?']","  department : department_id , name , creation , ranking , budget_in_billions , num_employees | head : head_id , name , born_state , age | management : department_id , head_id , temporary_acting",department
['what is the highest price?'],"  film : film_id , rank_in_series , number_in_season , title , directed_by , original_air_date , production_code | cinema : cinema_id , name , openning_year , capacity , location | schedule : cinema_id , film_id , date , show_times_per_day , price",schedule
"['what is the highest price?', 'what is the average of prices*']","  film : film_id , rank_in_series , number_in_season , title , directed_by , original_air_date , production_code | cinema : cinema_id , name , openning_year , capacity , location | schedule : cinema_id , film_id , date , show_times_per_day , price",schedule
"['what is the highest price?', 'what is the average of prices*', 'what is the average of rank in series?']","  film : film_id , rank_in_series , number_in_season , title , directed_by , original_air_date , production_code | cinema : cinema_id , name , openning_year , capacity , location | schedule : cinema_id , film_id , date , show_times_per_day , price",film
['how many person there'],"  person : name , age , city , gender , job | personfriend : name , friend , year",Person
"['how many person there', 'what is the age of Bob']","  person : name  , age , city , gender , job | personfriend : name  , friend  , year",Person
"['how many person there', 'what is the age of Bob', 'what is the city of Alice']","  person : name  , age , city , gender , job | personfriend : name  , friend  , year",Person
['what country is Vijay Singh from?'],"  artist : artist_id , name  , country , year_join , age | exhibition : exhibition_id , year , theme , artist_id , ticket_price | exhibition_record : exhibition_id , date , attendance",artist
"['what country is Vijay Singh from?', 'who is the latest artist?']","  artist : artist_id , name  , country , year_join , age | exhibition : exhibition_id , year , theme , artist_id , ticket_price | exhibition_record : exhibition_id , date , attendance",artist
"['what country is Vijay Singh from?', 'who is the latest artist?', 'what year did Vijay Singh joined?']","  artist : artist_id , name  , country , year_join , age | exhibition : exhibition_id , year , theme , artist_id , ticket_price | exhibition_record : exhibition_id , date , attendance",artist
['how many courses did the student with id 121 register for?'],"  addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name , course_description , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code",Student_Course_Registrations
"['how many courses did the student with id 121 register for?', 'And how many courses did the student attend?']","  addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name , course_description , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code",Student_Course_Attendance
"['how many courses did the student with id 121 register for?', 'And how many courses did the student attend?', 'show me the id of courses registered or attended by student whose id is 121']","  addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name , course_description , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code",student_course_registrations
['Find the distinct names of all wines that have prices higher than some wines from John Anthony winery.'],"  grapes : id , grape , color | appellations : no , appelation , county , state , area , isava | wine : no , grape , winery  , appelation , state , name , year , price , score , cases , drink",WINE
"['Find the distinct names of all wines that have prices higher than some wines from John Anthony winery.', 'Find the price of all wines that have prices higher than some wines from John Anthony winery.']","  grapes : id , grape , color | appellations : no , appelation , county , state , area , isava | wine : no , grape , winery  , appelation , state , name , year , price , score , cases , drink",WINE
"['Find the distinct names of all wines that have prices higher than some wines from John Anthony winery.', 'Find the price of all wines that have prices higher than some wines from John Anthony winery.', 'Find the score of all wines that have prices higher than some wines from John Anthony winery.']","  grapes : id , grape , color | appellations : no , appelation , county , state , area , isava | wine : no , grape , winery  , appelation , state , name , year , price , score , cases , drink",WINE
['show names of all aircrafts?'],"  flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name , salary | certificate : eid , aid",aircraft
"['show names of all aircrafts?', 'in which aircraft does John Williams have a certificate']","  flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name  , salary | certificate : eid , aid",Employee
"['show names of all aircrafts?', 'in which aircraft does John Williams have a certificate', 'give me the airline id to that']","  flight : flno , origin , destination , distance , departure_date , arrival_date , price , aid | aircraft : aid , name , distance | employee : eid , name  , salary | certificate : eid , aid",Employee
['what are the names and classes of the ships that do not have any captain yet?'],"  captain : captain_id , name , ship_id , age , class , rank | ship : ship_id , name , type , built_year , class , flag",ship
"['what are the names and classes of the ships that do not have any captain yet?', 'What are the names of the captains that have classes?']","  captain : captain_id , name , ship_id , age , class , rank | ship : ship_id , name , type , built_year , class , flag",captain
"['what are the names and classes of the ships that do not have any captain yet?', 'What are the names of the captains that have classes?', 'What is the id for HMS Gorgon?', 'Did  you mean  ship  id?', 'yes']","  captain : captain_id , name , ship_id , age , class , rank | ship : ship_id , name  , type , built_year , class , flag",ship
['Show the countries that have managers of age above 50 or below 46?'],"  railway : railway_id , railway , builder , built , wheels , location , objectnumber | train : train_id , train_num , name , from , arrival , railway_id | manager : manager_id , name , country , working_year_starts , age , level | railway_manage : railway_id , manager_id , from_year",manager
"['Show the countries that have managers of age above 50 or below 46?', ""What is the least aged Manager's name on the list?""]","  railway : railway_id , railway , builder , built , wheels , location , objectnumber | train : train_id , train_num , name , from , arrival , railway_id | manager : manager_id , name , country , working_year_starts , age , level | railway_manage : railway_id , manager_id , from_year",manager
"['Show the countries that have managers of age above 50 or below 46?', ""What is the least aged Manager's name on the list?"", 'How many managers are from United States on the list?']","  railway : railway_id , railway , builder , built , wheels , location , objectnumber | train : train_id , train_num , name , from , arrival , railway_id | manager : manager_id , name , country  , working_year_starts , age , level | railway_manage : railway_id , manager_id , from_year",manager
['what are the names of the institution and building here'],"  building : building_id , name , street_address , years_as_tallest , height_feet , floors | institution : institution_id , institution , location , founded , type , enrollment , team , primary_conference , building_id | protein : common_name , protein_name , divergence_from_human_lineage , accession_number , sequence_length , sequence_identity_to_human_protein , institution_id",building
"['what are the names of the institution and building here', 'In what year was Ave Maria University created and where is the  current location']","  building : building_id , name , street_address , years_as_tallest , height_feet , floors | institution : institution_id , institution  , location , founded , type , enrollment , team , primary_conference , building_id | protein : common_name , protein_name , divergence_from_human_lineage , accession_number , sequence_length , sequence_identity_to_human_protein , institution_id",institution
"['what are the names of the institution and building here', 'In what year was Ave Maria University created and where is the  current location', 'How many enrollement  does Dakota State University have']","  building : building_id , name , street_address , years_as_tallest , height_feet , floors | institution : institution_id , institution  , location , founded , type , enrollment , team , primary_conference , building_id | protein : common_name , protein_name , divergence_from_human_lineage , accession_number , sequence_length , sequence_identity_to_human_protein , institution_id",institution
"['Which store has the most staff?', 'Do  you  want  to get  the shop ID which has the  most  staff?', 'yes, please']","  shop : shop_id , address , num_of_staff , score , open_year | member : member_id , name , membership_card , age , time_of_purchase , level_of_membership , address | happy_hour : hh_id , shop_id , month , num_of_shaff_in_charge | happy_hour_member : hh_id , member_id , total_amount",shop
"['Which store has the most staff?', 'Do  you  want  to get  the shop ID which has the  most  staff?', 'yes, please', 'Which shop has a happy hour in may?', 'Do  you  want  to get  shop  ID  or  another attribute?', 'shop id']","  shop : shop_id , address , num_of_staff , score , open_year | member : member_id , name , membership_card , age , time_of_purchase , level_of_membership , address | happy_hour : hh_id , shop_id , month  , num_of_shaff_in_charge | happy_hour_member : hh_id , member_id , total_amount",shop
"['Which store has the most staff?', 'Do  you  want  to get  the shop ID which has the  most  staff?', 'yes, please', 'Which shop has a happy hour in may?', 'Do  you  want  to get  shop  ID  or  another attribute?', 'shop id', 'Can you also show me their addresses ?', 'Here are the addresses of shops that have happy hours in may', 'Can you show me them with their corresponding shop ids?']","  shop : shop_id , address , num_of_staff , score , open_year | member : member_id , name , membership_card , age , time_of_purchase , level_of_membership , address | happy_hour : hh_id , shop_id , month  , num_of_shaff_in_charge | happy_hour_member : hh_id , member_id , total_amount",shop
"['Can you list all document descriptions that contain the word ""Initial""?']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Document_Types
"['Can you list all document descriptions that contain the word ""Initial""?', 'Can you list the document type code associated with that document description?']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Document_Types
"['Can you list all document descriptions that contain the word ""Initial""?', 'Can you list the document type code associated with that document description?', 'Are there any other document type codes associated with a description that contains the word ""initial""?']","  document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives",Document_Types
['show the total distinct leader names of the college associated with the members of all country'],"  college : college_id , name , leader_name , college_location | member : member_id , name , country , college_id | round : round_id , member_id , decoration_theme , rank_in_round",college
"['show the total distinct leader names of the college associated with the members of all country', 'find the college id for the college location Ottawa']","  college : college_id , name , leader_name , college_location  | member : member_id , name , country , college_id | round : round_id , member_id , decoration_theme , rank_in_round",college
"['show the total distinct leader names of the college associated with the members of all country', 'find the college id for the college location Ottawa', 'find the member name and college location for the member id 1']","  college : college_id , name , leader_name , college_location  | member : member_id , name , country , college_id | round : round_id , member_id , decoration_theme , rank_in_round",college
['Hello!  Can you show me a list of the various product type codes?'],"  addresses : address_id , address_details | locations : location_id , other_details | products : product_id , product_type_code , product_name , product_price | parties : party_id , party_details | assets : asset_id , other_details | channels : channel_id , other_details | finances : finance_id , other_details | events : event_id , address_id , channel_id , event_type_code , finance_id , location_id | products_in_events : product_in_event_id , event_id , product_id | parties_in_events : party_id , event_id , role_code | agreements : document_id , event_id | assets_in_events : asset_id , event_id",Products
"['Hello!  Can you show me a list of the various product type codes?', 'Wonderful!  Of these product type codes, can you tell me which code is the most common one?']","  addresses : address_id , address_details | locations : location_id , other_details | products : product_id , product_type_code , product_name , product_price | parties : party_id , party_details | assets : asset_id , other_details | channels : channel_id , other_details | finances : finance_id , other_details | events : event_id , address_id , channel_id , event_type_code , finance_id , location_id | products_in_events : product_in_event_id , event_id , product_id | parties_in_events : party_id , event_id , role_code | agreements : document_id , event_id | assets_in_events : asset_id , event_id",Products
"['what are the companies that produce the most expensive furniture', 'Do you mean the names of manufacturers that produce the most expensive furniture?', 'yes, the names of the company that produces the most expensive furniture']","  manufacturer : manufacturer_id , open_year , name , num_of_factories , num_of_shops | furniture : furniture_id , name , num_of_component , market_rate | furniture_manufacte : manufacturer_id , furniture_id , price_in_dollar",manufacturer
